id,date,batch,camera,film,location,notes,image,color
000049320002,2026-01,1,Canon AE-1,Kentmere 400,New York City,,/photos/000049320002.jpg,
000049320003,2026-01,1,Canon AE-1,Kentmere 400,New York City,,/photos/000049320003.jpg,
000049320004,2026-01,1,Canon AE-1,Kentmere 400,New York City,,/photos/000049320004.jpg,
000049320006,2026-01,1,Canon AE-1,Kentmere 400,New York City,,/photos/000049320006.jpg,
000049320008,2026-01,1,Canon AE-1,Kentmere 400,New York City,I remember being really upset my shutter speed wasn't higher for this,/photos/000049320008.jpg,
000049320011,2026-01,1,Canon AE-1,Kentmere 400,New York City,,/photos/000049320011.jpg,
000049320013,2026-01,1,Canon AE-1,Kentmere 400,New York City,,/photos/000049320013.jpg,
000049320014,2026-01,1,Canon AE-1,Kentmere 400,New York City,I remember being really happy my shutter speed wasn't higher for this,/photos/000049320014.jpg,
000049320016,2026-01,1,Canon AE-1,Kentmere 400,New York City,very chaotic,/photos/000049320016.jpg,
000049320021,2026-01,1,Canon AE-1,Kentmere 400,New York City,,/photos/000049320021.jpg,
000049320025,2026-01,1,Canon AE-1,Kentmere 400,New York City,,/photos/000049320025.jpg,
000049320026,2026-01,1,Canon AE-1,Kentmere 400,New York City,,/photos/000049320026.jpg,
000049320028,2026-01,1,Canon AE-1,Kentmere 400,New York City,My first *successful* double exposure,/photos/000049320028.jpg,
000049320029,2026-01,1,Canon AE-1,Kentmere 400,New York City,,/photos/000049320029.jpg,
000049320035,2026-01,1,Canon AE-1,Kentmere 400,New York City,,/photos/000049320035.jpg,
000049320036,2026-01,1,Canon AE-1,Kentmere 400,New York City,,/photos/000049320036.jpg,
000049320038,2026-01,1,Canon AE-1,Kentmere 400,New York City,,/photos/000049320038.jpg,
000049320039,2026-01,1,Canon AE-1,Kentmere 400,New York City,,/photos/000049320039.jpg,
000055190016,2026-01,2,Olympus XA,Cinestill 800T,New York City,,/photos/000055190016.jpg,
000055190025,2026-01,2,Olympus XA,Cinestill 800T,New York City,,/photos/000055190025.jpg,
000055190028,2026-01,2,Olympus XA,Cinestill 800T,New York City,,/photos/000055190028.jpg,
000093830002,2026-02,3,Olympus XA,Kentmere 400,New York City,picture of my friend bringing me a beer #1,/photos/000093830002.jpg,
000093830008,2026-02,3,Olympus XA,Kentmere 400,New York City,,/photos/000093830008.jpg,
000093830009,2026-02,3,Olympus XA,Kentmere 400,New York City,,/photos/000093830009.jpg,
000093830014,2026-02,3,Olympus XA,Kentmere 400,New York City,way too early m train,/photos/000093830014.jpg,
000093830016,2026-02,3,Olympus XA,Kentmere 400,New York City,,/photos/000093830016.jpg,
000093830017,2026-02,3,Olympus XA,Kentmere 400,New York City,we were joking that this looked like the author photo in his cookbook,/photos/000093830017.jpg,
000093830018,2026-02,3,Olympus XA,Kentmere 400,New York City,,/photos/000093830018.jpg,
000093830019,2026-02,3,Olympus XA,Kentmere 400,New York City,,/photos/000093830019.jpg,
000093830020,2026-02,3,Olympus XA,Kentmere 400,New York City,,/photos/000093830020.jpg,
000093830021,2026-02,3,Olympus XA,Kentmere 400,New York City,,/photos/000093830021.jpg,
000093830022,2026-02,3,Olympus XA,Kentmere 400,New York City,,/photos/000093830022.jpg,
79140009,2026-03,4,Olympus XA,Cinestill 800T,New York City,st paddy's day,/photos/79140009.jpg,
79140010,2026-03,4,Olympus XA,Cinestill 800T,New York City,,/photos/79140010.jpg,
79140013,2026-03,4,Olympus XA,Cinestill 800T,New York City,,/photos/79140013.jpg,
79140016,2026-03,4,Olympus XA,Cinestill 800T,New York City,,/photos/79140016.jpg,
79140024,2026-03,4,Olympus XA,Cinestill 800T,New York City,,/photos/79140024.jpg,
79140029,2026-03,4,Olympus XA,Cinestill 800T,New York City,,/photos/79140029.jpg,
79140031,2026-03,4,Olympus XA,Cinestill 800T,New York City,,/photos/79140031.jpg,
